"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"20457","E01021536",4,22.931
"20458","E01021537",8,10.663
"20459","E01021538",6,14.809
"20460","E01021539",5,19.304
"20461","E01021540",5,18.126
"20462","E01021542",7,11.421
"20463","E01021543",9,5.693
"20464","E01021544",7,13.699
"20465","E01021545",10,4.747
"20466","E01021546",8,9.335
"20467","E01021547",9,7.107
"20468","E01021548",9,5.898
"20469","E01021550",6,15.628
"20470","E01021551",5,18.601
"20471","E01021552",8,9.206
"20472","E01021553",6,16.124
"20473","E01021554",3,28.589
"20474","E01021555",9,5.727
"20475","E01021556",9,6.644
"20476","E01021557",10,3.352
"20477","E01021558",10,5.245
"20478","E01021559",10,3.476
"20479","E01021560",10,5.39
"20480","E01021561",10,5.347
"20481","E01021562",6,15.893
"20482","E01021563",3,30.503
"20483","E01021564",9,5.848
"20484","E01021565",2,35.303
"20485","E01021566",9,6.204
"20486","E01021568",8,10.064
"20487","E01021569",10,5.391
"20488","E01021570",9,6.618
"20489","E01021571",8,10.613
"20490","E01021572",4,24.441
"20491","E01021573",7,13.685
"20492","E01021575",5,17.952
"20493","E01021576",2,41.053
"20494","E01021577",9,7.586
"20495","E01021578",7,11.75
"20496","E01021579",9,7.207
"20497","E01021580",10,2.245
"20498","E01021582",9,7.983
"20499","E01021583",8,8.763
"20500","E01021584",10,3.395
"20501","E01021585",10,3.34
"20502","E01021586",10,3.096
"20503","E01021587",10,3.584
"20504","E01021588",3,32.53
"20505","E01021589",7,14.028
"20506","E01021590",10,2.167
"20507","E01021591",10,3.673
"20508","E01021592",3,33.187
"20509","E01021593",9,7.705
"20510","E01021595",6,15.242
"20511","E01021596",2,37.586
"20512","E01021597",5,20.205
"20513","E01021598",3,27.119
"20514","E01021599",9,7.582
"20515","E01021600",10,2.256
"20516","E01021601",2,34.506
"20517","E01021602",5,21.263
"20518","E01021604",8,9.581
"20519","E01021605",9,6.313
"20520","E01021606",6,16.993
"20521","E01021607",7,12.58
"20522","E01021608",6,14.918
"20523","E01021609",9,5.764
"20524","E01021610",7,11.853
"20525","E01021611",9,6.958
"20526","E01021612",9,6.512
"20527","E01021613",6,15.92
"20528","E01021614",8,8.872
"20529","E01021615",8,8.642
"20530","E01021617",5,17.819
"20531","E01021618",9,5.557
"20532","E01021619",9,5.929
"20533","E01021620",7,11.198
"20534","E01021621",7,12.299
"20535","E01021622",10,4.59
"20536","E01021623",9,5.85
"20537","E01021624",10,2.124
"20538","E01021625",10,5.397
"20539","E01021626",10,2.858
"20540","E01021627",6,16.328
"20541","E01021628",8,10.081
"20542","E01021629",5,18.371
"20543","E01021631",3,29.499
"20544","E01021632",9,7.335
"20545","E01021633",10,5.228
"20546","E01021634",8,9.069
"20547","E01021635",6,14.674
"20548","E01021636",3,27.091
"20549","E01021637",4,22.917
"20550","E01021638",3,27.168
"20551","E01021639",4,24.043
"20552","E01021640",4,22.68
"20553","E01021641",4,25.744
"20554","E01021642",4,25.482
"20555","E01021643",8,9.08
"20556","E01021644",5,20.59
"20557","E01021645",9,7.188
"20558","E01021646",8,10.923
"20559","E01021647",6,15.175
"20560","E01021648",4,25.447
"20561","E01021650",5,18.654
"20562","E01021651",6,14.92
"20563","E01021652",9,5.92
"20564","E01021653",10,3.589
"20565","E01021655",7,12.064
"20566","E01021656",7,12.657
"20567","E01021657",7,12.986
"20568","E01021658",3,28.077
"20569","E01021659",7,14.125
"20570","E01021660",7,12.178
"20571","E01021661",8,10.272
"20572","E01021662",7,11.899
"20573","E01021663",6,16.643
"20574","E01021664",6,17.325
"20575","E01021665",2,42.429
"20576","E01021666",5,18.173
"20577","E01021667",2,35.485
"20578","E01021668",6,17.313
"20579","E01021669",3,30.204
"20580","E01021670",4,23.041
"20581","E01021671",8,8.609
"20582","E01021673",10,3.667
"20583","E01021674",4,26.032
"20584","E01021675",9,8.178
"20585","E01021676",9,7.642
"20586","E01021677",8,10.479
"20587","E01021678",4,21.993
"20588","E01021683",4,23.479
"20589","E01021684",5,18.591
"20590","E01021687",4,24.342
"20591","E01021688",6,14.939
"20592","E01021689",5,17.918
"20593","E01021690",9,7.917
"20594","E01021691",9,7.456
"20595","E01021692",10,4.609
"20596","E01021693",10,4.546
"20597","E01021694",6,17.283
"20598","E01021695",8,10.795
"20599","E01021696",1,60.425
"20600","E01021697",2,35.859
"20601","E01021698",4,25.793
"20602","E01021699",2,43.577
"20603","E01021700",1,56.947
"20604","E01021702",6,16.547
"20605","E01021703",2,43.66
"20606","E01021704",3,26.954
"20607","E01021705",6,15.204
"20608","E01021706",4,23.668
"20609","E01021707",4,22.759
"20610","E01021708",8,10.69
"20611","E01021709",8,9.232
"20612","E01021710",9,6.592
"20613","E01021711",2,34.209
"20614","E01021713",3,29.359
"20615","E01021714",6,16.598
"20616","E01021715",6,17.355
"20617","E01021717",8,8.771
"20618","E01021718",6,14.224
"20619","E01021719",8,9.807
"20620","E01021720",5,19.881
"20621","E01021721",8,9.237
"20622","E01021722",7,11.626
"20623","E01021723",7,12.946
"20624","E01021724",7,11.226
"20625","E01021725",8,10.355
"20626","E01021726",3,31.267
"20627","E01021727",8,10.164
"20628","E01021728",10,4.049
"20629","E01021729",6,14.232
"20630","E01021730",7,13.083
"20631","E01021731",8,9.765
"20632","E01021732",4,22.122
"20633","E01021733",6,15.159
"20634","E01021734",9,8.366
"20635","E01021735",8,9.896
"20636","E01021736",9,6.281
