"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01030362",3,29.583
"E01030078",10,5.334
"E01019095",1,43.931
"E01019272",3,31.553
"E01019102",4,23.881
"E01019394",5,19.042
"E01008385",1,44.584
"E01023314",6,16.969
"E01008447",8,9.721
"E01008315",6,14.882
"E01008363",8,9.883
"E01030352",10,5.207
"E01023372",10,1.088
"E01011069",7,14.082
"E01008218",1,56.101
"E01030613",8,10.375
"E01011100",3,31.534
"E01023805",4,23.739
"E01023839",10,1.71
"E01008142",4,23.708
"E01008205",7,12.544
"E01011101",1,50.772
"E01011250",2,40.76
"E01011263",4,24.057
"E01011020",2,35.352
"E01030540",10,2.631
"E01030541",10,2.417
"E01011478",3,27.617
"E01023885",10,5.584
"E01023417",9,7.295
"E01023436",9,6.177
"E01023442",9,7.182
"E01023793",3,29.374
"E01023894",10,4.545
"E01023735",10,4.668
"E01023406",9,7.147
"E01008062",1,57.745
"E01023300",3,32.342
"E01008176",6,15.016
"E01023301",4,23.909
"E01008048",9,8.394
"E01008117",1,57.132
"E01008045",5,20.214
"E01001369",4,24.898
"E01001535",6,14.357
"E01001400",8,10.379
"E01001620",3,31.693
"E01026691",9,8.071
"E01026720",4,22.826
"E01001693",2,33.676
"E01018648",5,20.042
"E01001132",8,9.259
"E01001540",6,14.261
"E01000562",8,10.862
"E01001118",2,40.478
"E01001349",2,33.598
"E01001041",5,21.138
"E01001073",6,16.333
"E01026652",3,26.822
"E01026675",6,16.6
"E01026189",10,4.549
"E01026246",3,29.916
"E01030629",6,16.484
"E01026620",1,50.794
"E01026528",7,13.377
"E01026621",3,31.314
"E01026701",6,16.035
"E01025943",4,25.247
"E01018728",5,18.139
"E01018758",4,25.479
"E01025915",9,6.302
"E01026047",6,17.312
"E01026230",4,24.546
"E01018987",4,22.998
"E01018992",5,20.223
"E01001249",2,41.534
"E01018967",5,19.837
"E01029440",8,11.296
"E01018920",4,23.141
"E01029467",6,14.656
"E01029324",5,20.074
"E01001191",2,34.93
"E01001328",2,33.629
"E01019364",4,25.214
"E01029002",4,22.398
"E01019136",7,12.001
"E01019235",6,15.58
"E01001356",1,45.936
"E01000601",1,57.244
"E01000924",7,13.294
"E01001453",9,6.185
"E01001500",5,19.827
"E01000461",9,7.086
"E01000475",5,21.12
"E01000530",6,15.596
"E01000923",5,19.37
"E01018991",3,28.636
"E01018807",6,15.148
"E01018772",7,11.464
"E01018901",7,13.133
"E01000564",6,17.31
"E01000603",2,39.051
"E01000749",7,11.329
"E01004703",8,10.512
"E01004738",8,9.473
"E01004871",2,42.158
"E01004682",6,14.246
"E01004848",1,59.211
"E01004902",2,35.797
"E01004852",2,43.13
"E01004819",3,31.871
"E01004060",3,31.991
"E01004125",3,31.639
"E01004171",9,6.369
"E01004191",9,7.762
"E01004901",10,4.315
"E01004722",2,35.96
"E01003697",5,17.925
"E01004102",8,10.815
"E01004740",2,33.582
"E01004785",4,25.123
